case_name,date_created,download_url,page_count
"Andra Group, Lp v. Victoria's Secret Stores, LLC",2021-08-09T08:03:00.255776-07:00,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/20-2009.ERRATA.8-9-2021_1816072.pdf,1
"Cajun Services Unlimited, LLC v. Benton Energy Service Company",2021-08-09T08:02:59.569827-07:00,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/20-1997.RULE_36_JUDGMENT.8-9-2021_1816091.pdf,2
"Satco Products, Inc. v. Thread Group, Inc.",2021-08-09T08:01:59.584743-07:00,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/21-1141.RULE_36_JUDGMENT.8-9-2021_1816104.pdf,2
Buffington v. McDonough,2021-08-06T08:03:35.291823-07:00,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/20-1479.OPINION.8-6-2021_1815379.pdf,27
Ingevity Corporation v. Itc,2021-08-06T08:03:34.554076-07:00,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/20-1800.OPINION.8-6-2021_1815417.pdf,15
Ingevity Corporation v. Itc,2021-08-06T08:03:33.868059-07:00,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/20-1800.ORDER.8-6-2021_1815406.pdf,2
Straw v. United States,2021-08-06T08:03:33.355600-07:00,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/21-1600.OPINION.8-6-2021_1815353.pdf,15
"Corus Realty Holdings, Inc. v. Zillow Group, Inc.",2021-08-05T08:03:17.417745-07:00,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/20-1775.ERRATA.8-5-2021_1814871.pdf,1
"Glaxosmithkline LLC v. Teva Pharmaceuticals USA, Inc.",2021-08-05T08:03:15.812561-07:00,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-1976.OPINION.8-5-2021_1814836.pdf,78
Allen v. United States,2021-08-04T08:02:21.631403-07:00,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/21-1808.ORDER.8-4-2021_1814244.pdf,2
Gravelle v. Kaba Ilco Corporation,2021-08-04T08:02:12.730668-07:00,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/20-1370.OPINION.8-4-2021_1814206.pdf,7
In Re APPLE INC.,2021-08-04T08:02:12.066588-07:00,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/21-147.ORDER.8-4-2021_1814187.pdf,3
In Re GOOGLE LLC,2021-08-04T08:02:09.881744-07:00,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/21-144.ORDER.8-4-2021_1814279.pdf,4
Roby v. McDonough,2021-08-04T08:01:52.191284-07:00,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/20-1088.OPINION.8-4-2021_1814188.pdf,19
Shell Oil Company v. United States,2021-08-04T08:01:08.065659-07:00,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/20-2221.OPINION.8-4-2021_1814220.pdf,20
"Andra Group, Lp v. Victoria's Secret Stores, LLC",2021-08-03T08:02:36.894706-07:00,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/20-2009.OPINION.8-3-2021_1813505.pdf,11
Blount v. MSPB,2021-08-03T08:02:30.588518-07:00,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/21-1393.OPINION.8-3-2021_1813562.pdf,4
Mondis Technology Ltd. v. Lg Electronics Inc.,2021-08-03T08:01:59.700553-07:00,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/20-1812.OPINION.8-3-2021_1813480.pdf,8
Torrez v. McDonough,2021-08-03T08:01:36.454143-07:00,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/21-1081.OPINION.8-3-2021_1813535.pdf,7
"In Re HULU, LLC",2021-08-02T08:02:24.650569-07:00,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/21-142.ORDER.8-2-2021_1812608.pdf,13
